Representative_Motif	Average_Similarity	Min_Similarity	Cluster_Size	Clustered_Motifs	Primary_Family	Primary_Subfamily	Representative_Motif_Gene_Symbol	Clustered_Motifs_Gene_Symbols	Clustered_Motifs_Gene_Symbols_Plus_Families
ZNF66.H13CORE.0.PG.A	0	0	1	ZNF66.H13CORE.0.PG.A	More than 3 adjacent zinc fingers {2.3.3}	Unclassified {2.3.3.0}	ZNF66	ZNF66	ZNF66 {2.3.3.0.65}
ZNF665.H13CORE.0.PSG.A	0	0	1	ZNF665.H13CORE.0.PSG.A	More than 3 adjacent zinc fingers {2.3.3}	ZNF665-like {2.3.3.76}	ZNF665	ZNF665	ZNF665 {2.3.3.76.1}
ZNF668.H13CORE.0.SG.A	0	0	1	ZNF668.H13CORE.0.SG.A	Multiple dispersed zinc fingers {2.3.4}	Unclassified {2.3.4.0}	ZNF668	ZNF668	ZNF668 {2.3.4.0.50}
ZNF672.H13CORE.0.PSG.A	0	0	1	ZNF672.H13CORE.0.PSG.A	More than 3 adjacent zinc fingers {2.3.3}	ZNF689-like {2.3.3.66}	ZNF672	ZNF672	ZNF672 {2.3.3.66.2}
ZNF676.H13CORE.0.PSG.A	0	0	1	ZNF676.H13CORE.0.PSG.A	More than 3 adjacent zinc fingers {2.3.3}	Unclassified {2.3.3.0}	ZNF676	ZNF676	ZNF676 {2.3.3.0.183}
ZNF678.H13CORE.0.PSG.A	0	0	1	ZNF678.H13CORE.0.PSG.A	More than 3 adjacent zinc fingers {2.3.3}	Unclassified {2.3.3.0}	ZNF678	ZNF678	ZNF678 {2.3.3.0.185}
ZNF689.H13CORE.0.PSG.A	0	0	1	ZNF689.H13CORE.0.PSG.A	More than 3 adjacent zinc fingers {2.3.3}	ZNF689-like {2.3.3.66}	ZNF689	ZNF689	ZNF689 {2.3.3.66.1}
ZNF696.H13CORE.0.PSG.A	0	0	1	ZNF696.H13CORE.0.PSG.A	More than 3 adjacent zinc fingers {2.3.3}	Unclassified {2.3.3.0}	ZNF696	ZNF696	ZNF696 {2.3.3.0.78}
ZNF699.H13CORE.0.PSG.A	0	0	1	ZNF699.H13CORE.0.PSG.A	More than 3 adjacent zinc fingers {2.3.3}	ZNF763-like {2.3.3.33}	ZNF699	ZNF699	ZNF699 {2.3.3.33.203}
ZNF7.H13CORE.0.P.B	0	0	1	ZNF7.H13CORE.0.P.B	More than 3 adjacent zinc fingers {2.3.3}	Unclassified {2.3.3.0}	ZNF7	ZNF7	ZNF7 {2.3.3.0.190}
ZNF70.H13CORE.0.PSG.A	0	0	1	ZNF70.H13CORE.0.PSG.A	More than 3 adjacent zinc fingers {2.3.3}	Unclassified {2.3.3.0}	ZNF70	ZNF70	ZNF70 {2.3.3.0.121}
ZNF700.H13CORE.0.PSG.A	0	0	1	ZNF700.H13CORE.0.PSG.A	More than 3 adjacent zinc fingers {2.3.3}	Unclassified {2.3.3.0}	ZNF700	ZNF700	ZNF700 {2.3.3.0.212}
ZNF705EP.H13CORE.0.P.B	0	0	1	ZNF705EP.H13CORE.0.P.B	More than 3 adjacent zinc fingers {2.3.3}	ZNF705 {2.3.3.7}	ZNF705EP	ZNF705EP	ZNF705EP {x.x.x.x.x}
ZNF709.H13CORE.0.P.C	0	0	1	ZNF709.H13CORE.0.P.C	More than 3 adjacent zinc fingers {2.3.3}	ZNF14-like {2.3.3.78}	ZNF709	ZNF709	ZNF709 {2.3.3.78.2}
ZNF721.H13CORE.0.PSG.A	0	0	1	ZNF721.H13CORE.0.PSG.A	More than 3 adjacent zinc fingers {2.3.3}	ZNF595-like {2.3.3.77}	ZNF721	ZNF721	ZNF721 {2.3.3.77.2}
ZNF724.H13CORE.0.PSG.A	0	0	1	ZNF724.H13CORE.0.PSG.A	More than 3 adjacent zinc fingers {2.3.3}	Unclassified {2.3.3.0}	ZNF724	ZNF724	ZNF724 {2.3.3.0.201}
ZNF726.H13CORE.0.PSGI.A	0	0	1	ZNF726.H13CORE.0.PSGI.A	More than 3 adjacent zinc fingers {2.3.3}	Unclassified {2.3.3.0}	ZNF726	ZNF726	ZNF726 {2.3.3.0.226}
ZNF728.H13CORE.0.PSG.A	0	0	1	ZNF728.H13CORE.0.PSG.A	More than 3 adjacent zinc fingers {2.3.3}	Unclassified {2.3.3.0}	ZNF728	ZNF728	ZNF728 {2.3.3.0.238}
ZNF732.H13CORE.0.PSG.A	0	0	1	ZNF732.H13CORE.0.PSG.A	More than 3 adjacent zinc fingers {2.3.3}	Unclassified {2.3.3.0}	ZNF732	ZNF732	ZNF732 {2.3.3.0.194}
ZNF74.H13CORE.0.P.C	0	0	1	ZNF74.H13CORE.0.P.C	More than 3 adjacent zinc fingers {2.3.3}	Unclassified {2.3.3.0}	ZNF74	ZNF74	ZNF74 {2.3.3.0.132}
ZNF746.H13CORE.0.PSG.A	0	0	1	ZNF746.H13CORE.0.PSG.A	More than 3 adjacent zinc fingers {2.3.3}	Unclassified {2.3.3.0}	ZNF746	ZNF746	ZNF746 {2.3.3.0.26}
ZNF76.H13CORE.1.SM.B	0	0	1	ZNF76.H13CORE.1.SM.B	More than 3 adjacent zinc fingers {2.3.3}	ZNF76-like {2.3.3.28}	ZNF76	ZNF76	ZNF76 {2.3.3.28.1}
ZNF77.H13CORE.0.P.C	0	0	1	ZNF77.H13CORE.0.P.C	More than 3 adjacent zinc fingers {2.3.3}	ZNF763-like {2.3.3.33}	ZNF77	ZNF77	ZNF77 {2.3.3.33.10}
ZNF772.H13CORE.0.PG.A	0	0	1	ZNF772.H13CORE.0.PG.A	Multiple dispersed zinc fingers {2.3.4}	ZNF134-like {2.3.4.24}	ZNF772	ZNF772	ZNF772 {2.3.4.24.3}
ZNF773.H13CORE.0.PG.A	0	0	1	ZNF773.H13CORE.0.PG.A	More than 3 adjacent zinc fingers {2.3.3}	ZNF773-like {2.3.3.42}	ZNF773	ZNF773	ZNF773 {2.3.3.42.1}
ZNF775.H13CORE.0.PSG.A	0	0	1	ZNF775.H13CORE.0.PSG.A	Multiple dispersed zinc fingers {2.3.4}	Unclassified {2.3.4.0}	ZNF775	ZNF775	ZNF775 {2.3.4.0.44}
ZNF780B.H13CORE.0.PSGI.A	0	0	1	ZNF780B.H13CORE.0.PSGI.A	More than 3 adjacent zinc fingers {2.3.3}	ZNF283-like {2.3.3.67}	ZNF780B	ZNF780B	ZNF780B {2.3.3.67.12}
ZNF788P.H13CORE.0.S.C	0	0	1	ZNF788P.H13CORE.0.S.C	Multiple dispersed zinc fingers {2.3.4}	Unclassified {2.3.4.0}	ZNF788P	ZNF788P	ZNF788P {2.3.4.0.60}
ZNF79.H13CORE.0.P.C	0	0	1	ZNF79.H13CORE.0.P.C	More than 3 adjacent zinc fingers {2.3.3}	Unclassified {2.3.3.0}	ZNF79	ZNF79	ZNF79 {2.3.3.0.122}
ZNF8.H13CORE.0.P.C	0	0	1	ZNF8.H13CORE.0.P.C	Multiple dispersed zinc fingers {2.3.4}	Unclassified {2.3.4.0}	ZNF8	ZNF8	ZNF8 {2.3.4.0.29}
ZNF8.H13CORE.1.P.B	0	0	1	ZNF8.H13CORE.1.P.B	Multiple dispersed zinc fingers {2.3.4}	Unclassified {2.3.4.0}	ZNF8	ZNF8	ZNF8 {2.3.4.0.29}
ZNF800.H13CORE.0.PSG.A	0	0	1	ZNF800.H13CORE.0.PSG.A	Multiple dispersed zinc fingers {2.3.4}	Unclassified {2.3.4.0}	ZNF800	ZNF800	ZNF800 {2.3.4.0.17}
ZNF81.H13CORE.0.P.C	0	0	1	ZNF81.H13CORE.0.P.C	More than 3 adjacent zinc fingers {2.3.3}	ZNF81-like {2.3.3.68}	ZNF81	ZNF81	ZNF81 {2.3.3.68.1}
ZNF813.H13CORE.0.SG.A	0	0	1	ZNF813.H13CORE.0.SG.A	More than 3 adjacent zinc fingers {2.3.3}	ZNF813-like {2.3.3.72}	ZNF813	ZNF813	ZNF813 {2.3.3.72.1}
ZNF814.H13CORE.0.PSG.A	0	0	1	ZNF814.H13CORE.0.PSG.A	Multiple dispersed zinc fingers {2.3.4}	ZNF417-like {2.3.4.1}	ZNF814	ZNF814	ZNF814 {2.3.4.1.4}
ZNF827.H13CORE.0.SG.A	0	0	1	ZNF827.H13CORE.0.SG.A	Multiple dispersed zinc fingers {2.3.4}	Unclassified {2.3.4.0}	ZNF827	ZNF827	ZNF827 {2.3.4.0.11}
ZNF83.H13CORE.0.G.C	0	0	1	ZNF83.H13CORE.0.G.C	More than 3 adjacent zinc fingers {2.3.3}	Unclassified {2.3.3.0}	ZNF83	ZNF83	ZNF83 {2.3.3.0.188}
ZNF831.H13CORE.0.PSGI.A	0	0	1	ZNF831.H13CORE.0.PSGI.A	Other with up to three adjacent zinc fingers {2.3.2}	Other {2.3.2.4}	ZNF831	ZNF831	ZNF831 {x.x.x.x.x}
ZNF836.H13CORE.0.PSG.A	0	0	1	ZNF836.H13CORE.0.PSG.A	More than 3 adjacent zinc fingers {2.3.3}	ZNF841-like {2.3.3.79}	ZNF836	ZNF836	ZNF836 {2.3.3.79.2}
ZNF841.H13CORE.0.PSGI.A	0	0	1	ZNF841.H13CORE.0.PSGI.A	More than 3 adjacent zinc fingers {2.3.3}	ZNF841-like {2.3.3.79}	ZNF841	ZNF841	ZNF841 {2.3.3.79.1}
ZNF845.H13CORE.0.PSG.A	0	0	1	ZNF845.H13CORE.0.PSG.A	More than 3 adjacent zinc fingers {2.3.3}	ZNF813-like {2.3.3.72}	ZNF845	ZNF845	ZNF845 {2.3.3.72.7}
ZNF850.H13CORE.0.PSG.A	0	0	1	ZNF850.H13CORE.0.PSG.A	More than 3 adjacent zinc fingers {2.3.3}	Unclassified {2.3.3.0}	ZNF850	ZNF850	ZNF850 {x.x.x.x.x}
ZNF853.H13CORE.0.SG.A	0	0	1	ZNF853.H13CORE.0.SG.A	More than 3 adjacent zinc fingers {2.3.3}	ZNF500-like {2.3.3.19}	ZNF853	ZNF853	ZNF853 {2.3.3.19.2}
ZNF878.H13CORE.0.PS.A	0	0	1	ZNF878.H13CORE.0.PS.A	More than 3 adjacent zinc fingers {2.3.3}	ZNF763-like {2.3.3.33}	ZNF878	ZNF878	ZNF878 {2.3.3.33.18}
ZNF90.H13CORE.0.P.C	0	0	1	ZNF90.H13CORE.0.P.C	More than 3 adjacent zinc fingers {2.3.3}	Unclassified {2.3.3.0}	ZNF90	ZNF90	ZNF90 {2.3.3.0.184}
ZNF92.H13CORE.0.P.B	0	0	1	ZNF92.H13CORE.0.P.B	More than 3 adjacent zinc fingers {2.3.3}	Unclassified {2.3.3.0}	ZNF92	ZNF92	ZNF92 {2.3.3.0.199}
ZSA5A.H13CORE.0.SM.B	0	0	1	ZSA5A.H13CORE.0.SM.B	More than 3 adjacent zinc fingers {2.3.3}	ZSCAN5-like {2.3.3.5}	ZSCAN5A	ZSCAN5A	ZSCAN5A {2.3.3.5.1}
