Gene	Gene name	Brain region	TPM	pTPM	nTPM
ENSG00000001617	SEMA3F	cerebral cortex	11.1	16.9	14.9
ENSG00000001617	SEMA3F	choroid plexus	14.9	19.5	23.6
ENSG00000001617	SEMA3F	hippocampal formation	6.5	9.3	8.7
ENSG00000001617	SEMA3F	hypothalamus	14.4	20.1	17.8
ENSG00000001617	SEMA3F	medulla oblongata	17.6	26.1	17.9
ENSG00000001617	SEMA3F	midbrain	19.7	26.9	25.4
ENSG00000001617	SEMA3F	pons	14.8	21.8	16.6
ENSG00000001617	SEMA3F	spinal cord	7.5	9.7	11.3
ENSG00000001617	SEMA3F	thalamus	39.0	55.9	43.8
ENSG00000001617	SEMA3F	white matter	12.0	19.7	8.0
ENSG00000001626	CFTR	amygdala	0.7	1.0	1.6
ENSG00000001626	CFTR	basal ganglia	2.6	3.7	3.8
ENSG00000001626	CFTR	cerebellum	1.4	2.1	2.0
ENSG00000001626	CFTR	cerebral cortex	2.2	3.3	2.8
ENSG00000001626	CFTR	choroid plexus	0.0	0.0	0.2
ENSG00000001626	CFTR	hippocampal formation	0.5	0.8	1.2
ENSG00000001626	CFTR	hypothalamus	2.2	3.1	2.1
ENSG00000001626	CFTR	medulla oblongata	1.4	2.2	2.9
ENSG00000001626	CFTR	midbrain	1.5	2.1	2.2
ENSG00000001626	CFTR	pons	1.3	1.9	2.3
ENSG00000001626	CFTR	spinal cord	2.9	4.3	3.0
ENSG00000001626	CFTR	thalamus	1.8	2.6	2.7
ENSG00000001626	CFTR	white matter	4.5	7.5	6.2
ENSG00000001629	ANKIB1	amygdala	80.7	107.1	149.5
ENSG00000001629	ANKIB1	basal ganglia	141.2	203.7	205.0
ENSG00000001629	ANKIB1	cerebellum	102.9	167.0	133.5
ENSG00000001629	ANKIB1	cerebral cortex	108.3	154.0	178.7
ENSG00000001629	ANKIB1	choroid plexus	30.7	40.5	56.9
ENSG00000001629	ANKIB1	hippocampal formation	80.9	121.7	129.7
ENSG00000001629	ANKIB1	hypothalamus	136.9	192.1	202.3
ENSG00000001629	ANKIB1	medulla oblongata	104.2	153.4	159.1
ENSG00000001629	ANKIB1	midbrain	120.5	169.2	157.6
ENSG00000001629	ANKIB1	pons	114.4	169.1	160.1
ENSG00000001629	ANKIB1	spinal cord	86.7	124.3	121.5
ENSG00000001629	ANKIB1	thalamus	109.7	160.0	164.5
ENSG00000001629	ANKIB1	white matter	207.0	309.7	266.0
ENSG00000001630	CYP51A1	amygdala	33.0	46.7	55.5
ENSG00000001630	CYP51A1	basal ganglia	55.6	82.3	59.9
ENSG00000001630	CYP51A1	cerebellum	77.0	108.4	92.4
ENSG00000001630	CYP51A1	cerebral cortex	62.8	95.1	75.3
ENSG00000001630	CYP51A1	choroid plexus	21.9	28.4	53.0
ENSG00000001630	CYP51A1	hippocampal formation	48.7	72.3	59.8
ENSG00000001630	CYP51A1	hypothalamus	102.4	151.2	91.9
ENSG00000001630	CYP51A1	medulla oblongata	109.7	157.9	137.5
ENSG00000001630	CYP51A1	midbrain	102.5	147.9	98.9
ENSG00000001630	CYP51A1	pons	101.3	149.4	115.0
ENSG00000001630	CYP51A1	spinal cord	65.8	95.8	107.0
ENSG00000001630	CYP51A1	thalamus	60.2	85.9	75.2
ENSG00000001630	CYP51A1	white matter	91.1	149.7	127.2
ENSG00000001631	KRIT1	amygdala	1.1	1.6	2.0
ENSG00000001631	KRIT1	basal ganglia	1.9	2.8	2.2
ENSG00000001631	KRIT1	cerebellum	2.3	3.7	3.0
ENSG00000001631	KRIT1	cerebral cortex	1.6	2.6	2.4
ENSG00000001631	KRIT1	choroid plexus	0.9	1.2	1.7
ENSG00000001631	KRIT1	hippocampal formation	1.5	2.1	2.1
ENSG00000001631	KRIT1	hypothalamus	3.1	4.5	3.0
ENSG00000001631	KRIT1	medulla oblongata	1.7	2.5	2.4
ENSG00000001631	KRIT1	midbrain	2.3	3.2	2.8
ENSG00000001631	KRIT1	pons	1.6	2.4	2.3
ENSG00000001631	KRIT1	spinal cord	1.5	2.2	2.4
ENSG00000001631	KRIT1	thalamus	1.6	2.2	2.0
ENSG00000001631	KRIT1	white matter	2.8	4.4	3.0
ENSG00000002016	RAD52	amygdala	10.5	14.5	15.5
ENSG00000002016	RAD52	basal ganglia	16.1	23.2	20.1
ENSG00000002016	RAD52	cerebellum	16.3	26.7	19.3
ENSG00000002016	RAD52	cerebral cortex	17.3	26.6	20.0
ENSG00000002016	RAD52	choroid plexus	8.9	11.8	13.9
ENSG00000002016	RAD52	hippocampal formation	13.4	19.7	18.0
ENSG00000002016	RAD52	hypothalamus	15.8	22.9	17.7
ENSG00000002016	RAD52	medulla oblongata	15.2	22.9	18.5
ENSG00000002016	RAD52	midbrain	14.0	19.8	18.6
ENSG00000002016	RAD52	pons	15.8	22.9	19.1
ENSG00000002016	RAD52	spinal cord	12.7	18.6	14.4
ENSG00000002016	RAD52	thalamus	13.4	18.9	19.6
ENSG00000002016	RAD52	white matter	25.7	43.1	30.7
ENSG00000002330	BAD	amygdala	43.5	59.1	76.5
ENSG00000002330	BAD	basal ganglia	58.6	87.4	69.3
ENSG00000002330	BAD	cerebellum	52.2	74.9	65.7
ENSG00000002330	BAD	cerebral cortex	58.6	90.1	72.7
ENSG00000002330	BAD	choroid plexus	31.4	41.2	60.9
ENSG00000002330	BAD	hippocampal formation	53.5	78.3	73.8
ENSG00000002330	BAD	hypothalamus	56.6	82.5	63.4
ENSG00000002330	BAD	medulla oblongata	58.7	90.3	75.0
ENSG00000002330	BAD	midbrain	56.5	79.1	75.4
ENSG00000002330	BAD	pons	49.0	73.4	67.6
ENSG00000002330	BAD	spinal cord	48.4	70.0	68.9
ENSG00000002330	BAD	thalamus	56.9	79.4	88.6
ENSG00000002330	BAD	white matter	52.6	83.9	72.0
ENSG00000002549	LAP3	amygdala	23.6	31.9	29.5
ENSG00000002549	LAP3	basal ganglia	27.9	39.7	32.6
ENSG00000002549	LAP3	cerebellum	36.7	51.6	42.0
ENSG00000002549	LAP3	cerebral cortex	24.7	36.1	26.5
ENSG00000002549	LAP3	choroid plexus	17.6	23.2	25.9
ENSG00000002549	LAP3	hippocampal formation	23.0	32.3	26.4
ENSG00000002549	LAP3	hypothalamus	27.4	38.0	36.2
ENSG00000002549	LAP3	medulla oblongata	57.6	83.0	58.0
ENSG00000002549	LAP3	midbrain	32.8	47.4	34.7
ENSG00000002549	LAP3	pons	40.2	58.4	40.6
ENSG00000002549	LAP3	spinal cord	36.2	52.1	56.2
ENSG00000002549	LAP3	thalamus	34.6	47.5	49.9
ENSG00000002549	LAP3	white matter	43.4	64.5	50.5
ENSG00000002586	CD99	amygdala	106.8	145.1	130.7
ENSG00000002586	CD99	basal ganglia	134.1	191.4	149.3
ENSG00000002586	CD99	cerebellum	165.9	234.6	165.9
ENSG00000002586	CD99	cerebral cortex	103.0	149.7	100.1
ENSG00000002586	CD99	choroid plexus	86.7	114.4	119.1
ENSG00000002586	CD99	hippocampal formation	111.8	167.3	122.8
ENSG00000002586	CD99	hypothalamus	332.8	486.5	381.9
