cardiac_neuro_cava_random:TRAK1|ENSG00000182606.17|EH38E2195026_fwd_tile1-1
cardiac_neuro_cava_random:TDGF1|ENSG00000241186.10|EH38E3510532_fwd_tile1-1
cardiac_neuro_cava_random:TDGF1|ENSG00000241186.10|EH38E2198307_fwd_tile1-1
cardiac_neuro_cava_random:CACNA2D3|ENSG00000157445.15|EH38E3516090_fwd_tile1-1
cardiac_neuro_cava_random:CACNA2D3|ENSG00000157445.15|EH38E3516182_fwd_tile1-1
cardiac_neuro_cava_random:ATP6V1A|ENSG00000114573.11|EH38E2228100_fwd_tile1-1
cardiac_neuro_cava_random:ARHGAP31|ENSG00000031081.11|EH38E3533486_fwd_tile1-1
cardiac_neuro_cava_random:SATB1|ENSG00000182568.18|EH38E3499993_rev_tile1-1
cardiac_neuro_cava_random:SATB1|ENSG00000182568.18|EH38E2183610_rev_tile1-1
cardiac_neuro_cava_random:SCN5A|ENSG00000183873.18|EH38E3506641_rev_tile1-1
cardiac_neuro_cava_random:MYL3|ENSG00000160808.11|EH38E3510822_rev_tile1-1
cardiac_neuro_cava_random:TMEM115|ENSG00000126062.4|EH38E3513361_rev_tile1-1
cardiac_neuro_cava_random:TNNC1|ENSG00000114854.8|EH38E3514850_rev_tile1-1
cardiac_neuro_cava_random:FOXP1|ENSG00000114861.24|EH38E3522137_rev_tile1-1
cardiac_neuro_cava_random:FOXP1|ENSG00000114861.24|EH38E2212949_rev_tile1-1
cardiac_neuro_cava_random:FOXP1|ENSG00000114861.24|EH38E2213055_rev_tile1-1
cardiac_neuro_cava_random:FOXP1|ENSG00000114861.24|EH38E3522275_rev_tile1-1
cardiac_neuro_cava_random:FOXP1|ENSG00000114861.24|EH38E3522350_rev_tile1-1
cardiac_neuro_cava_random:FOXP1|ENSG00000114861.24|EH38E3522378_rev_tile1-1
cardiac_neuro_cava_random:FOXP1|ENSG00000114861.24|EH38E3522403_rev_tile1-1
cardiac_neuro_cava_random:FOXP1|ENSG00000114861.24|EH38E2213323_rev_tile1-1
cardiac_neuro_cava_random:FOXP1|ENSG00000114861.24|EH38E3522450_rev_tile1-1
cardiac_neuro_cava_random:ZBTB20|ENSG00000181722.18|EH38E3532278_rev_tile1-1
cardiac_neuro_cava_random:ZBTB20|ENSG00000181722.18|EH38E2228565_rev_tile1-1
cardiac_neuro_cava_random:ZBTB20|ENSG00000181722.18|EH38E3532384_rev_tile1-1
cardiac_neuro_cava_random:ZBTB20|ENSG00000181722.18|EH38E3532388_rev_tile1-1
cardiac_neuro_cava_random:ZBTB20|ENSG00000181722.18|EH38E3532423_rev_tile1-1
cardiac_neuro_cava_random:ZBTB20|ENSG00000181722.18|EH38E3532512_rev_tile1-1
cardiac_neuro_cava_random:ZNF148|ENSG00000163848.21|EH38E2234370_rev_tile1-1
cardiac_neuro_cava_random:ZNF148|ENSG00000163848.21|EH38E3536345_rev_tile1-1
cardiac_neuro_cava_random:FGF12|ENSG00000114279.15|EH38E2269630_rev_tile1-1
cardiac_neuro_cava_random:DRD5|ENSG00000169676.6|EH38E2280537_fwd_tile1-1
cardiac_neuro_cava_random:GABRB1|ENSG00000163288.14|EH38E2294898_fwd_tile1-1
cardiac_neuro_cava_random:ANK2|ENSG00000145362.21|EH38E2320863_fwd_tile1-1
cardiac_neuro_cava_random:ANK2|ENSG00000145362.21|EH38E3600503_fwd_tile1-1
cardiac_neuro_cava_random:ANK2|ENSG00000145362.21|EH38E2321158_fwd_tile1-1
cardiac_neuro_cava_random:ANK2|ENSG00000145362.21|EH38E3600629_fwd_tile1-1
cardiac_neuro_cava_random:MYOZ2|ENSG00000172399.6|EH38E3601866_fwd_tile1-1
cardiac_neuro_cava_random:FGF2|ENSG00000138685.17|EH38E2324534_fwd_tile1-1
